GCIN,period,Slope/AI,CTI,CTIW
1,dormant,0.103342767180191,0.00303143915176743,0.000308663933627508
1,growing,0.103342767180191,0.00303143915176743,0.00233507195766982
2,dormant,0.00246759670348216,0.00177224853908348,0.00177224853908348
2,growing,0.00246759670348216,0.00177224853908348,0.00177224853908348
3,dormant,0.297544827450611,0.0093105130449156,0.00189704172261917
3,growing,0.297544827450611,0.0093105130449156,0.00886665474255809
4,dormant,0.12262324854394,0.0069895301955382,0.00114686571482016
4,growing,0.12262324854394,0.0069895301955382,0.00598534465177565
5,dormant,0.122107214573616,0.00158451303663211,0.000264001718237985
5,growing,0.122107214573616,0.00158451303663211,0.00130243887512456
6,dormant,0.198711398552089,0.00121956558740803,0.000214609358914202
6,growing,0.198711398552089,0.00121956558740803,0.00104665032168191
7,dormant,0.167120763980468,0.00100449472430672,0.000140169440808289
7,growing,0.167120763980468,0.00100449472430672,0.00076996969022271
8,dormant,0.119672548774034,0.209874972315745,0.184973190241711
8,growing,0.119672548774034,0.209874972315745,0.101192197467754
9,dormant,0.117553284057372,0.202785345488246,0.195859959137357
9,growing,0.117553284057372,0.202785345488246,0.0867057853809989
10,dormant,1.06774360992567,1.81230072174883,1.81230072174883
10,growing,1.06774360992567,1.81230072174883,1.81230072174883
11,dormant,0.0056338802581538,0.00065046024386448,0.000100010231199503
11,growing,0.0056338802581538,0.00065046024386448,0.000100010231199503
12,dormant,0.00498816751551624,0.000581434322612022,4.86370916253402e-05
12,growing,0.00498816751551624,0.000581434322612022,4.86370916253402e-05
13,dormant,0.00870580496819018,0.00116371623115371,0.000112943718736738
13,growing,0.00870580496819018,0.00116371623115371,0.000112943718736738
14,dormant,0.0141903202212445,0.00172670493578698,0.000131717486372146
14,growing,0.0141903202212445,0.00172670493578698,0.000131717486372146
15,dormant,0.0711313856548679,0.0087691834383386,0.00521493925830238
15,growing,0.0711313856548679,0.0087691834383386,0.00521493925830238
16,dormant,0.100157539609075,0.0113157029783092,0.00724321789003184
16,growing,0.100157539609075,0.0113157029783092,0.00724321789003184
17,dormant,0.0438451531380475,0.00492382854192175,0.0024199903685206
17,growing,0.0438451531380475,0.00492382854192175,0.0024199903685206
18,dormant,0.103629495565761,0.0110104964730976,0.0082771562751998
18,growing,0.103629495565761,0.0110104964730976,0.0082771562751998
19,dormant,0.0401370970774902,0.00688344300996099,0.00475356607861799
19,growing,0.0401370970774902,0.00688344300996099,0.00475356607861799
20,dormant,0.0291720545287913,0.00412028067692894,0.00144221391016142
20,growing,0.0291720545287913,0.00412028067692894,0.00144221391016142
21,dormant,0.00754116993332014,0.00107164410582769,5.36664351222937e-05
21,growing,0.00754116993332014,0.00107164410582769,5.36664351222937e-05
22,dormant,0.00116170139356169,0.000381397611860216,4.84156599433504e-05
22,growing,0.00116170139356169,0.000381397611860216,4.84156599433504e-05
23,dormant,0.00184081748606199,0.000687520960377774,0.000148482871840446
23,growing,0.00184081748606199,0.000687520960377774,0.000148482871840446
24,dormant,0.0092509905230266,0.00375942853982804,0.000306301367288344
24,growing,0.0092509905230266,0.00375942853982804,0.000306301367288344
25,dormant,0.155881563143051,0.203314928161333,0.0655471905523772
25,growing,0.155881563143051,0.203314928161333,0.0655471905523772
26,dormant,0.300341109271624,0.349719539680852,0.121475376770881
